id	subject	day	starttime	length	teacher	group	room	period	experiod	inweek	exweek	exclass	realweeks	equipment
3291900	Mentor Time	Wed	1400	30	MeAb,NaAf	8C	C38				33	0	34-43, 45-51, 2-8, 11-12, 14-23	
3292636	HoY Time	Wed	1400	60	AnPe							0	33-42, 44-47, 49-51, 2-8, 11-12, 14-23	
3291646	Changing Time	Wed	1415	5	OlGo	7A	Changing Room				33	0	34-43, 45-51, 2-8, 11-12, 14-23	
3291653	NO	Wed	1420	60	ChPl	7B	A12				33	0	34-43, 45-51, 2-8, 11-12, 14-23	
3291654	IDH	Wed	1420	60	OlGo	7A	Gym Hall	Jv				0	34, 36, 38, 40, 42, 46, 50, 2, 4, 6, 8, 12, 14, 16, 18, 20, 22	
3291678	IDH	Wed	1420	60	OlGo	7A	B24,Outside			35, 37, 39, 41, 43, 45, 47, 49, 51, 3, 5, 7, 11, 15, 17, 19, 21, 23	33	0	35, 37, 39, 41, 43, 45, 47, 49, 51, 3, 5, 7, 11, 15, 17, 19, 21, 23	
3292031	Support Session - Art	Wed	1420	60	LoGl		D47					0	33-42, 44-47, 49-51, 2-8, 11-12, 14-23	
3292683	Support Session - English	Wed	1420	60	ErWi							0	33-42, 44-47, 49-51, 2-8, 11-12, 14-23	
3291671	Mobile Return	Wed	1425	15	AsRo	8B					33	0	34-43, 45-51, 2-8, 11-12, 14-23	
3292296	HoY Time	Wed	1425	60	ChLa							0	33-42, 44-47, 49-51, 2-8, 11-12, 14-23	
3291705	Planning Time	Wed	1430	60	AlWe							0	33-42, 44-47, 49-51, 2-8, 11-12, 14-23	
3291872	MU	Wed	1430	60	MaBe	9A:2	Music				33	0	34-43, 45-51, 2-8, 11-12, 14-23	
3292047	NO Lab	Wed	1430	60	JoGe	9A:1	D48				33	0	34-43, 45-51, 2-8, 11-12, 14-23	
3292132	EN	Wed	1430	60	MatWik	9C	C39			34-43, 45-51, 3-8, 10-12, 14-19, 21-23	33	0	34-43, 45-51, 3-8, 10-12, 14-19, 21-23	
3292228	Union Work	Wed	1430	60	JoEn,EmLa,JeSe					35, 40, 4, 8, 12, 17, 21		0	35, 40, 4, 8, 12, 17, 21	
3292474	Support Session - Swedish	Wed	1430	60	CaSk		D44					0	33-42, 44-47, 49-51, 2-8, 11-12, 14-23	
3292684	Support Session - SVA	Wed	1430	60	HayAlj		D40					0	33-42, 44-47, 49-51, 2-8, 11-12, 14-23	
3292689	Detention	Wed	1430	60	DaWr							0	33-42, 44-47, 49-51, 2-8, 11-12, 14-23	
3292705	Support Session - Social Science	Wed	1430	60	PhGh							0	33-42, 44-47, 49-51, 2-8, 11-12, 14-23	
3291685	NO	Wed	1435	55	NaAf	8C	A17				33	0	34-43, 45-51, 2-8, 11-12, 14-23	
3291942	EN	Wed	1435	55	MeAb	9B	C38				33	0	34-43, 45-51, 2-8, 11-12, 14-23	
3292141	Department Time	Wed	1455	60	RyHa,JaOm,LSt			Uv				0	33, 35, 37, 39, 41, 44-45, 47, 49, 51, 3, 5, 7, 11, 15, 17, 19, 21, 23	
3292156	Department Meeting - Maths	Wed	1455	60	RyHa,JaOm,LSt			Jv				0	34, 36, 38, 40, 42, 46, 50, 2, 4, 6, 8, 12, 14, 16, 18, 20, 22	
3292121	Mentor Time	Wed	1505	25	LiJä,MiJä	8A	C32				33	0	34-43, 45-51, 2-8, 11-12, 14-23	
3291647	Changing Time	Wed	1520	10	OlGo	7A	Changing Room				33	0	34-43, 45-51, 2-8, 11-12, 14-23	
3292240	Mobile Return	Wed	1520	15	AsRo	7B					33	0	34-43, 45-51, 2-8, 11-12, 14-23	
3292677	Support Session - Spanish	Wed	1525	60	DaCa		C34					0	33-42, 44-47, 49-51, 2-8, 11-12, 14-23	
3291666	Mobile Return	Wed	1530	15	AsRo	8A,8C,9A,9B,9C				34-43, 45-51, 3-8, 10-12, 14-19, 21-23	33	0	34-43, 45-51, 3-8, 10-12, 14-19, 21-23	
3292053	Mobile Return	Wed	1530	15	AsRo	7A					33	0	34-43, 45-51, 2-8, 11-12, 14-23	
3292387	Support Session - Spanish	Wed	1530	60	LilCor		C36					0	33-42, 44-47, 49-51, 2-8, 11-12, 14-23	
3292680	Support Session - French	Wed	1530	60	MaFu		C37					0	33-42, 44-47, 49-51, 2-8, 11-12, 14-23	
3292696	Support Session - English	Wed	1530	60	MatWik		C39					0	33-42, 44-47, 49-51, 2-8, 11-12, 14-23	
3292697	Support Session - English	Wed	1530	60	MeAb		C38					0	33-42, 44-47, 49-51, 2-8, 11-12, 14-23	
3292700	Detention	Wed	1530	60	AsRo							0	33-42, 44-47, 49-51, 2-8, 11-12, 14-23	
3292267	Department Meeting - Aesthetics	Wed	1540	60	MaBe,FaCa,LoGl,KaMa,GiPr,AlWe		HKK	Jv				0	34, 36, 38, 40, 42, 46, 50, 2, 4, 6, 8, 12, 14, 16, 18, 20, 22	
3292289	Department Time	Wed	1540	60	MaBe,FaCa,LoGl,KaMa,GiPr,AlWe			Uv				0	33, 35, 37, 39, 41, 44-45, 47, 49, 51, 3, 5, 7, 11, 15, 17, 19, 21, 23	
3292508	Department Time	Wed	1540	60	HayAlj,JoEn,PhGh,BjJo,MiJä,ChLa,EmLa,CaSk			Uv				0	33, 35, 37, 39, 41, 44-45, 47, 49, 51, 3, 5, 7, 11, 15, 17, 19, 21, 23	
3292514	Department Meeting - Social Science	Wed	1540	60	JoEn,PhGh,BjJo,LiJä,MiJä,ChLa,EmLa,CaSk			Jv				0	34, 36, 38, 40, 42, 46, 50, 2, 4, 6, 8, 12, 14, 16, 18, 20, 22	
3292515	Department Meeting - Swedish	Wed	1540	60	HayAlj,JoEn,PhGh,LiJä,ChLa,EmLa,CaSk			Jv				0	34, 36, 38, 40, 42, 46, 50, 2, 4, 6, 8, 12, 14, 16, 18, 20, 22	
3292102	Arbetstid	Thur	0745	450	ChPl							0	33-42, 44-47, 49-51, 2-8, 10-12, 14-17, 19-23	
3292280	Arbetstid	Thur	0745	450	AvdM							0	33-42, 44-47, 49-51, 2-8, 10-12, 14-17, 19-23	
3292283	Arbetstid	Thur	0745	240	BjJo							0	33-42, 44-47, 49-51, 2-8, 10-12, 14-17, 19-23	
3292304	Arbetstid	Thur	0745	480	DaCa							0	33-42, 44-47, 49-51, 2-8, 10-12, 14-17, 19-23	
3292332	Arbetstid	Thur	0745	395	HayAlj							0	33-42, 44-47, 49-51, 2-8, 10-12, 14-17, 19-23	
3292339	Arbetstid	Thur	0745	535	JaOm							0	33-42, 44-47, 49-51, 2-8, 10-12, 14-17, 19-23	
3292413	Arbetstid	Thur	0745	450	OlGo							0	33-42, 44-47, 49-51, 2-8, 10-12, 14-17, 19-23	
3292424	Arbetstid	Thur	0745	525	PhGh							0	33-42, 44-47, 49-51, 2-8, 10-12, 14-17, 19-23	
3292430	Arbetstid	Thur	0745	450	TrPl							0	33-42, 44-47, 49-51, 2-8, 10-12, 14-17, 19-23	
